trending_date,title,publish_date,tags,views,likes,dislikes
18.12.03,Black Panther New Scene - SNL,18.11.03,SNL|Saturday Night Live|SNL Season 43|Episode 1740|Sterling K Brown|Black Panther|Chris Redd|Leslie Jones|Kenan Thompson|T'Challa|Djalia|s43|s43e15|episode 15|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|Sterling K. Brown|The Predator|This is Us|People vs. OJ|James Bay|wild love|let it go|scars|hold back the river|chaos and the calm,1611772,288-09,3084
18.12.03,TIED UP CHALLENGE!!,18.11.03,liza|lizza|lizzza|lizzzavine|lizzzak|lizzzako|koshy|lizakoshy|wednesdays|kristen|liza and kristen|bonding|bonded|bondage|yah yeet|cooking without hands|without hands|no hands challenge|kwisten|liza koshy too|liza 2nd channel|with no arms|no arms challenge,1498364,132382,2
18.12.03,Getting Turned On - Man Vs House Ep.#7,18.11.03,DIY|threadbanger|Corinne Leigh|Rob Czar|how to|man vs pin|pinterest|pinterest fails|lowes|man vs house|flip or flop|fixer upper|building|construction|renovation|omg we bought a house|home renovation,604944,35009,374
18.12.03,Falcon Heavy & Starman,18.11.03,,2053689,104133,1121
18.12.03,The FASTEST Grand Mac Meal Ever Eaten (under 1 Minute!!),18.10.03,Matt Stonie|Megatoad|Competitive Eating|Food Challenge|Speed Eating|Eating Challenge|Grand Mac|Grand Big Mac|Grand Mac Challenge|Grand Big Mac Challenge|McDonalds|McDonalds Challenge|Fast Food Challenge,3151874,100355,6718
18.11.03,The FASTEST Grand Mac Meal Ever Eaten (under 1 Minute!!),18.10.03,Matt Stonie|Megatoad|Competitive Eating|Food Challenge|Speed Eating|Eating Challenge|Grand Mac|Grand Big Mac|Grand Mac Challenge|Grand Big Mac Challenge|McDonalds|McDonalds Challenge|Fast Food Challenge,2367796,815 91,4343
18.11.03,Super Smash Bros - Trailer Analysis,18.10.03,dunkey|videogamedunkey|smash 5|smash bros switch|smash bros trailer|dunkey smash|smash bros trailer anaylsis,2656683,178607,4695
18.11.03,The Historic Disappearance of Louis Le Prince,18.09.03,Buzzfeed unsolved|BuzzFeed|unsolved|mystery|unsolved mystery|unexplained|investigation|investigate|investigative|true crime|crime|criminal|theory|theories|case|cold case|cold-case|detective|detectives|scary|spooky|creepy|eerie|weird|strange|haunted|ghost|monster|demon|creepypasta|supernatural|paranormal|Louis Le Prince|French|France|inventor|camera|film|movie|movies|Edison|stolen|disappear|train|patent|invention|Thomas Edison|patents|shane madej|ryan bergara,54939,54940,892
18.11.03,I TRIED FOLLOWING A SIMPLY NAILOGICAL MAKEUP TUTORIAL... WOW!,18.10.03,I tried following a simply nailogical makeup tutorial|I tried following a makeup tutorial|following a makeup tutorial|following|makeup tutorial|simply nailogical|simply|nailogical|the gabbie show|thomas halbert|nikkietutorials|nikkie tutorials|nikkitutorials|nikki tutorials|james charles|glitter tears|glitter|holo|holo tears|makeup|tutorial|how to|how to apply|cosmetics|transformation|beauty|party makeup|glitter makeup|fail|epic fail|viral,1071804,96363,0
18.11.03,Pen Circle Traps Ant (But How?),2018/09/03,reaction time|reaction|time|reactiontime|reaction time youtube|youtube reaction time|reaction time channel|react|reactions|reacting|reacting to|teens react|elders react|kids react|tal fishman|tal|fishman|family friendly|family|kids|kid friendly|facts|fact|learn|learning|game time|free time|funny|funniest|hilarious,1523626,34503,3421
18.10.03,[OFFICIAL VIDEO] New Rules x Are You That Somebody? - Pentatonix,18.09.03,Pentatonix|Penatonix|PTX|PTXofficial|Mitch Grassi|Kirstie Maldonado|Scott Hoying|Avi Kaplan|Kevin|Olusola|K-O.|Cello|Cellobox|Beatbox|A Cappella|Harmony|Acapella|Acappela|Choir|Singing Competition|The Sing-Off|Sing-Off|Reality TV|Sing|Singing|Chorus|Sara Bareilles|Shawn Stockman|Ben Folds|Ben Folds 5|American Idol|X-Factor|The Voice|Voice|Pitch Perfect|dua lipa|new rules|dua|lipa,929912,87962,1645
18.10.03,The Grinch - Official Trailer (HD),18.08.03,Minions|Movie|Trailer|Despicable Me|banana|kevin|bob|official|Minion|stuart|Illumination|Illumination Entertainment|minions|movie clip,3221044,48367,13805
18.10.03,Nintendo Direct 3.8.2018,18.08.03,nintendo|play|game|gameplay|fun|video game|action|rpg|nintendo direct|nintendo switch|nintendo direct 3.8.2018|nintendo 3ds|Luigi's Mansion|Kirby Star Allies|Octopath Traveler|Dark Souls Remastered|Mario Tennis Aces|Captain Toad|Undertale|Crash Bandicoot N. Sane Trilogy|Little Nightmares: Complete Edition|South Park: The Fractured But Whole|ARMS|Splatoon 2: Octo Expansion|Super Smash Bros.|super smash bros for nintendo switch|super smash bros switch,2075113,62569,2270
18.10.03,Official Call of Duty®: Black Ops 4 Teaser,18.08.03,call of duty|cod|activision|treyarch|Call of Duty: Black Ops 4|Black Ops,2851930,138033,16590
18.10.03,Mindy Kaling Liked Stephen's Baby Gift... But Not As Much As Oprah's,18.09.03,The Late Show|Late Show|Stephen Colbert|Steven Colbert|Colbert|celebrity|celeb|celebrities|late night|talk show|comedian|comedy|CBS|joke|jokes|funny|funny video|funny videos|humor|hollywood|famous|Mindy Kaling|Interview|Entertainment|Nonrecurring|Evergreen,361056,3493,0
18.09.03,Nintendo Direct 3.8.2018,2018/08/03,nintendo|play|game|gameplay|fun|video game|action|rpg|nintendo direct|nintendo switch|nintendo direct 3.8.2018|nintendo 3ds|Luigi's Mansion|Kirby Star Allies|Octopath Traveler|Dark Souls Remastered|Mario Tennis Aces|Captain Toad|Undertale|Crash Bandicoot N. Sane Trilogy|Little Nightmares: Complete Edition|South Park: The Fractured But Whole|ARMS|Splatoon 2: Octo Expansion|Super Smash Bros.|super smash bros for nintendo switch|super smash bros switch,904177,38381,820
18.09.03,Camila Cabello - Never Be the Same,18.08.03,camila cabello|camila|camila full album|havana|never be the same|all these years|she loves control|inside out|consequences|somethings gotta give|in the dark|into it|crying in the club|i have questions|fifth harmony|camilizers|harmonizers|Camila Cabello|Never Be the Same|Pop|Syco Music/Epic,3008740,402827,9020
18.09.03,Official Call of Duty®: Black Ops 4 Teaser,18.08.03,call of duty|cod|activision|treyarch|Call of Duty: Black Ops 4|Black Ops,9214,94381,6161
18.09.03,The Grinch - Official Trailer (HD),18.08.03,Minions|Movie|Trailer|Despicable Me|banana|kevin|bob|official|Minion|stuart|Illumination|Illumination Entertainment|minions|movie clip,522007,108$22,2276
18.09.03,Ew! with John Cena,18.08.03,The Tonight Show|Jimmy Fallon|Ew!|John Cena|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|Trainwreck|WWE|wrestler|Daddy's Home 2|The marine|12 Rounds|WWE Raw|Ferdinand|dancing|best friend|math test|sushi|Bruno mars|Finesse,1384556,39462,1354
18.08.03,Blind Fast Food Sub Sandwich Taste Test,18.07.03,rhett and link|gmm|good mythical morning|rhett and link good mythical morning|good mythical morning rhett and link|mythical morning|gmm food|Season 13|rhett|link|mythical|rhett blind fast food sub sandwich taste test|link blind fast food sub sandwich taste test|rhett link blind fast food sub sandwich taste test|blind fast food sub sandwich taste test,1196319,26616,644
